Initializing DockingService
DockingService initialized
Docking Start Time: 1690065791.8468978
Initializing DockingService
DockingService initialized
Docking Start Time: 1690066474.0330892
Time: 1690080625.6300077, Batch Size: 27
Time: 1690080657.0935705, Batch Size: 44
Time: 1690080673.7724538, Batch Size: 23
Time: 1690080898.6950045, Batch Size: 43
Time: 1690080934.286501, Batch Size: 266
Time: 1690080963.805677, Batch Size: 44
Time: 1690081001.21098, Batch Size: 4
Time: 1690081002.193393, Batch Size: 42
Time: 1690081151.1994612, Batch Size: 44
Time: 1690081241.0165014, Batch Size: 43
Time: 1690081250.2101283, Batch Size: 44
Time: 1690081328.3230054, Batch Size: 26
Time: 1690081335.0005069, Batch Size: 23
Time: 1690081450.8332524, Batch Size: 267
Time: 1690081466.62934, Batch Size: 43
